SYMBOL,BM_1 ,BM_2 ,BM_3,UC_1 ,UC_2 ,UC_3 
EIF2S2,73148.89714,87410.96343,107842.0845,249481.648,245085.3323,277018.5582
EIF2S3,265964.2631,266233.3219,267655.5895,641278.7667,613798.6299,593789.0208
EIF3A,302206.9559,256667.9303,344746.9913,994120.2841,626027.1714,799909.627
EIF3B,520420.4763,501757.6354,593304.5026,1232467.256,1042036.894,1297224.065
EIF3C,377864.0212,385033.1126,440915.9507,1317746.914,1007459.031,1293327.071
EIF3D,205549.3653,183443.6045,213827.3529,325623.6367,296419.7481,368755.7231
EIF3E,283887.2351,298071.5029,333099.2661,646918.0936,501460.5674,581883.0186
EIF3F,270365.4067,221534.8173,232285.4426,440696.1887,326436.8484,269607.6995
EIF3G,95346.77866,74323.06453,65290.66342,343414.393,371734.6028,445608.1865
EIF3H,203389.2871,193406.2426,190156.1063,430690.1927,332788.2487,327226.9026
EIF3I,119757.2368,122973.5173,136392.9314,255611.531,237823.5121,284181.1714
EIF3J,15226.88612,35150.7503,26319.99385,41460.41608,50195.89529,9548.477012
EIF3K,53511.16404,37532.84422,37293.49614,37169.53579,18745.72664,26839.28256
EIF3L,319930.7358,284800.7349,367316.1881,782285.2226,733390.8524,870953.2617
EIF3M,115273.3255,90347.93556,75483.58549,175274.8058,131733.1106,138490.4324
EIF4A1,2161694.184,2293530.237,2790321.315,13859855.43,11397775.81,14514760.54
EIF4A2,223976.1812,207927.9837,247193.102,110307.3934,98594.01665,100963.6257
EIF4A3,296336.7225,325192.2856,324962.5302,463726.5293,441308.1132,559825.0578
EIF4B,196374.0259,151533.9404,156440.5955,196944.152,184420.5605,189447.2909
EIF4E,111157.2728,92851.31919,126575.2667,129160.8956,145266.5548,156583.2743
EIF4EBP1,162074.7972,347878.5132,297123.3477,365126.7865,323355.0689,576113.2408
EIF4G1,406828.0363,355646.0862,467066.653,862846.2963,616253.4496,637430.8174
EIF4G2,270822.985,277020.0034,340593.975,861818.1732,643142.5255,834254.9235
EIF4G3,17570.18769,6296.39055,12123.35901,25395.47526,10088.40235,27972.3896
EIF4H,458458.9316,397349.7772,366605.0739,1565448.017,1429029.857,2189901.899
EIF5,144954.9501,147596.5876,134016.162,195196.7737,150835.7725,166251.3761
EIF5A,238599.5096,208771.3479,159740.034,89401.29126,61077.44615,93943.31443
EIF5B,152835.1043,104179.6306,165262.4527,393583.8111,340555.8572,447177.2365
EIF6,317987.7371,295047.282,397270.3377,498854.2644,445287.9829,146253.4679
ELAC2,32196.7182,38696.89436,35506.70867,118152.0696,101788.5029,125988.6066
ELAVL1,131829.641,147148.6392,163800.3242,218553.8056,192742.7281,239635.3308
ELL2,9422.461661,377.238402,378.9371613,17369.68155,1792.401313,1392.959823
ELMOD2,18750.13868,17463.00606,10503.70593,7856.995756,6646.731316,4333.253906
ELOB,90348.64319,81766.33773,97812.16502,241623.895,209588.6844,248923.9787
ELOVL1,20787.20986,9374.72607,25163.45717,32788.23266,27482.43551,45998.31633
ELP1,9056.168812,10843.18022,13428.90118,102890.3851,2864.949865,74131.24724
ELP2,12648.72728,11169.23961,14761.34727,60643.75246,35280.1834,32028.68564
ELP3,21300.01092,39895.72348,20029.66375,41722.88607,19842.40622,42223.53252
EMC1,86220.19293,84253.75932,106672.6209,203707.9513,161260.1395,222860.5556
EMC10,4893.870983,19590.45494,18306.46338,10722.64027,4488.096226,36945.68691
EMC2,54923.89038,53276.47894,86874.13998,76944.02448,39047.26087,19703.27456
EMC3,10646.88914,15045.07791,15235.38528,20425.97921,12022.88628,17249.85287
EMC4,14318.55156,21308.7633,14602.79274,37312.48684,26336.89784,10661.97927
EMC6,1217.249463,9914.95155,814.5512023,5014.92444,56475.63724,56889.36561
EMC9,13836.32699,8380.67844,9703.36384,22201.18605,15416.29522,25753.88765
EMD,190571.456,163562.1691,237344.6706,326852.7883,306513.9902,283799.6338
EMG1,13297.09298,12944.16643,21206.37928,72444.49475,68772.46759,64709.83378
EMILIN1,30854.85961,13491.3265,18746.04997,108791.2932,94611.24593,102476.7784
EML1,2885.654261,8556.728566,7084.988892,1991.063183,7960.133223,7561.481191
EML2,41494.87073,21653.372,30527.75351,36643.73388,27977.84023,40067.44099
EML3,4682.025491,2175.763254,6755.504268,17645.16497,11586.37348,2122.37329
EML4,34744.81825,96900.25946,119170.3134,44022.39043,17497.4186,31435.75004
EMP3,96857.12787,109576.3261,198760.7086,78660.53076,9872.872089,67508.64133
ENAH,143336.5195,146351.1773,260371.4108,181242.5089,162101.8612,142433.3184
ENG,199199.1212,112520.4536,115485.1334,84351.09512,101665.9764,113321.9305
ENO1,4274350.261,6012609.127,6900718.774,5564362.482,4236901.654,4421988.203
ENO2,234559.144,394620.0132,315561.7224,114834.6174,88159.28054,112363.5506
ENOPH1,11421.17321,6599.245013,7179.419436,13597.46532,10560.48723,12293.63148
ENPP1,76185.17268,25270.30102,87171.32168,52582.66257,79494.26026,126053.8045
ENSA,70252.51742,50116.37292,17234.72474,50957.64014,42641.05468,15498.81906
ENTPD7,1698.092498,1801.441968,379.1056211,9116.504943,1050.309389,8577.030503
ENY2,64550.36726,21492.69193,81838.93021,229102.4232,173303.9848,222998.9975
EOGT,23865.33595,12800.06018,9160.416472,121177.5745,109660.1177,119435.5079
EPB41L2,74307.49423,57282.43528,70774.78236,162050.5281,145746.3378,201243.879
EPB41L3,134279.2696,87643.19754,75378.1743,85774.0141,27354.54711,60779.95418
EPDR1,14157.08192,21284.92306,25982.76095,2394.504849,2830.01625,5018.287486
EPG5,6480.301875,2453.501724,3824.10388,5945.857565,6391.990005,3544.900375
EPHA2,71066.63251,58896.8011,49055.40111,189852.9813,153534.7773,166424.879
EPHB2,3701.94062,24640.55222,21782.01221,10186.75644,9409.290584,27102.04727
EPHX1,300278.7883,245610.7188,347182.9365,208766.0097,83492.18963,138723.106
EPHX2,7007.501917,3675.135009,3083.025592,1959.223854,25689.19265,13640.364
EPN1,7809.586409,18184.10621,5773.648678,6838.315675,8886.794079,9320.727037
EPRS1,318615.2361,234778.1027,347384.4143,1305873.471,856564.6615,391520.2412
EPS15,30908.81231,63308.38572,81225.51521,75506.93336,72516.92016,93093.56307
EPS8,82680.90626,55764.67153,105292.5603,81193.31818,46950.84231,114236.3401
EPS8L2,11095.00112,20323.76525,40703.98,45405.49478,38350.90835,40282.8303
ERAL1,9531.366422,2176.088289,9205.59785,21965.24842,19843.51046,8518.045152
ERAP1,39103.31462,44970.74165,41116.22954,88553.84382,87582.40799,52128.69103
ERBIN,27330.54908,3248.349357,10082.63866,34135.57443,61304.35113,36207.71669
ERC1,9959.102555,20400.1272,26632.29317,36621.63916,24616.88731,27069.79818
ERCC2,4851.326673,38867.37551,1533.657695,24750.65527,84840.94913,22599.31983
ERCC5,1046.629347,2204.204454,1772.333556,11944.50872,5062.818311,6580.601388
ERGIC1,134431.9915,127616.0923,155160.8628,284344.3873,190984.6766,249362.4629
ERH,1683.388705,5848.220717,35874.72252,15711.81841,17433.60218,4107.67364
ERLEC1,38473.1867,8843.188133,23861.48096,145137.1467,67023.69697,65547.36096
ERLIN1,55830.48515,36008.56076,55073.8949,18105.0286,44546.57554,33801.92421
ERLIN2,136816.0775,128080.681,177945.726,304576.2846,186991.6984,228991.9042
ERMP1,1238.94167,5309.130876,9469.870611,18625.57873,43103.24495,8749.835561
ERO1A,138644.7287,158756.6502,133674.1825,205556.9107,168085.4845,207620.0395
ERP29,345095.9274,349873.4805,443001.5639,838075.7246,548187.5658,790031.084
ERP44,305563.6966,413378.6379,573735.8867,1164552.937,831501.6081,999788.4149
ESD,246842.4316,222927.3598,321924.543,310128.5629,259676.3842,327845.0137
ESYT1,595385.2159,499363.7977,573134.2855,621910.6194,506306.8601,544421.7243
ESYT2,253819.5779,214342.597,317976.0797,231111.4629,165120.0065,194913.4611
ETF1,358697.8774,270666.5741,347545.3756,417348.8176,349629.9698,417052.3629
ETFA,278554.5145,159104.7428,259888.6552,319851.2534,194896.7863,232231.7798
ETFB,259628.0278,188078.9537,354012.3486,349081.0635,215470.5126,237997.6518
ETHE1,79872.84198,28479.30494,54307.65166,94652.80587,32076.18261,41294.53046
EWSR1,97657.05492,81628.35109,120494.381,69042.43617,187264.6669,224777.2801
EXD2,77657.47317,66326.33522,12027.9507,373677.5415,268372.6441,94462.48707
EXOC1,4765.67551,2050.906597,8990.320525,16199.88277,11595.46873,11082.31026
EXOC2,26644.92473,20480.37272,21113.37358,53923.2107,52550.45602,48904.42681
EXOC3,51241.68277,40774.59159,81924.85126,161182.3521,115298.7661,138171.0769
EXOC4,45537.18122,34506.5554,34960.23008,43768.59484,48605.39254,68011.64653
EXOC5,26932.20896,32670.06672,54113.11311,50788.01067,57995.57994,48396.47584
EXOC6B,27990.41194,30214.6496,41729.71794,94937.78121,54301.06842,60438.998
EXOC7,25644.55191,14265.55357,20951.21542,38871.05702,31991.90065,42551.56793
EXOC8,18933.65806,31798.40242,38409.32461,45487.442,30681.62551,38051.71289
