SYMBOL,BME01 ,BME02,BMe6,UMe7 ,UMe8,UMe9 
EPN1,582.5287081,1067.012411,4555.335287,32850.34005,26992.65534,9118.018791
EPN2,1961.786744,1455.990252,10661.6396,8106.604951,6257.602566,854.7847737
EPRS1,31884.23864,7394.412556,38208.01424,238625.0616,171444.5617,119939.9236
EPS15L1,6958.547403,7651.319849,18622.44707,23037.44357,67949.95122,32798.11056
ERBIN,63406.8173,207120.9079,31359.99651,91103.29972,150717.6119,154224.3995
ERGIC1,11433.2276,913.9474568,14731.95989,34406.57465,41340.19144,29502.45715
ERLIN2,23076.45394,19173.81002,3166.318305,38170.96985,32937.71265,28714.24481
ERO1A,3474.887082,6187.358683,6844.962764,19358.63605,2873.952419,14259.44389
ERP29,4464.034357,2901.979554,9124.990386,57265.05352,38083.44803,4643.551482
ERP44,4389.885268,11275.6217,28351.90207,49102.17688,10039.82476,13295.40662
ESD,19624.42192,25105.42044,219009.4402,177703.5073,26219.41078,157968.5883
ESYT1,39382.85477,40348.92622,30706.81265,92688.86085,291299.3958,37845.69159
ESYT2,1403.176931,4780.851299,5522.910234,13979.10357,13082.50872,11954.74988
ETF1,35581.33223,37698.47396,22392.2666,136239.7753,111652.9609,53403.99823
EVA1B,14781.45876,17374.99894,9414.907524,271890.4448,199124.1936,252790.792
EXOC1,2229.080524,14467.54883,941.7918338,9678.876807,10475.61128,2447.997729
EXOC2,18054.8315,9186.346889,19754.0084,42488.48095,30225.88342,25984.8402
EXOC3,20204.0032,22487.02722,319667.2262,29873.96604,38434.32602,48993.08384
EXOC4,2920.140335,3778.973136,2612.906842,14287.54587,18010.76207,11929.42422
EXOC5,2401.941381,4143.498635,15781.08544,26291.32985,1427.976181,17955.87626
EXOC6B,10920.94234,32116.74864,17357.02184,62481.05597,61872.5561,45914.25068
EXOC7,4192.800928,8462.228935,4339.445764,27422.9883,28592.76644,23870.63752
EZR,31718.81264,58333.41838,23313.55214,823445.799,215833.9998,214326.5549
F10,634452.2449,428717.5932,218004.9381,965298.9741,1128985.333,686300.3203
F11,14198.15631,11450.59377,22344.37418,1022.851094,34923.737,26699.84794
F13A1,28665.9582,208416.6349,704405.049,35273.96718,630971.1497,401121.169
F13B,2440.970046,645.8130554,110637.0997,46178.00898,87517.52135,52690.07747
F2,4445157.767,3426773.956,2150942.561,5171621.493,6075535.097,3824353.453
F2RL3,52346.15814,39638.98587,16346.88351,31159.56679,16865.05346,9950.019248
F3,14438.31357,16995.90781,21845.03142,178443.7065,36432.68537,267862.9118
F5,1233724.59,1003014.333,465769.8156,860113.686,1100184.154,760336.2128
F9,143606.2681,86847.89501,36984.07353,37922.43622,76305.91318,35683.97019
FABP5,18245.87534,15211.08572,38584.92209,92554.14089,105181.3293,45583.48811
FAH,46595.3002,27564.77426,38853.32918,119011.5686,334762.6798,116942.7338
FAHD2A,1609.662376,2964.499562,6812.818045,21320.13426,19830.12174,16960.57276
FAM114A1,11734.83879,3864.440342,23596.76106,35021.24573,28574.54066,17962.42294
FAM126A,5648.005127,14890.0646,3395.342007,15142.68068,12696.18549,15174.07745
FAM171A1,28337.5625,11925.94592,63029.33824,117167.121,82414.372,88066.55775
FAM177A1,12042.14673,8292.9713,8992.193249,13308.65634,12144.82406,10222.6273
FAP,174446.9749,114215.0681,967489.7848,1451829.112,2249016.373,2130756.231
FARP1,37636.1395,44278.04007,158974.0757,1301133.753,981767.6285,1177904.8
FARP2,30106.86581,8390.066853,23671.59361,22094.594,26309.61735,23681.74167
FARSB,3666.877448,2551.244402,1133.512513,63820.29995,26822.33693,21943.59794
FAS,4804.078789,1583.594685,20060.83468,24742.05265,2899.281199,3023.089001
FASN,121178.1981,56029.23843,169433.6255,1171441.213,928335.1599,719235.1792
FAT1,22033.2714,24567.44626,19718.15707,76515.81861,32162.05065,61837.43201
